# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
boy,2,3,0.333,5,0.200,rare,"low evidence (lrs3=2, ref_n=5)"
building,1,5,0.400,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
discovered,1,3,0.667,6,0.333,rare,"low evidence (lrs3=1, ref_n=6)"
earlier,1,2,0.500,7,0.143,rare,"low evidence (lrs3=1, ref_n=7)"
forward,1,4,0.500,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
happen,2,4,0.750,4,0.750,rare,"low evidence (lrs3=2, ref_n=4)"
morning,2,4,0.500,4,0.500,rare,"low evidence (lrs3=2, ref_n=4)"
takes,1,5,0.200,4,0.250,rare,"low evidence (lrs3=1, ref_n=4)"
test,1,4,0.250,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
asked,1,4,0.500,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
blood,1,4,0.750,4,0.750,rare,"low evidence (lrs3=1, ref_n=4)"
drop,2,1,0.000,6,0.000,rare,"low evidence (lrs3=2, ref_n=6)"
excited,1,3,0.667,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
expecting,1,4,1.000,4,1.000,rare,"low evidence (lrs3=1, ref_n=4)"
friend,1,4,0.750,4,0.750,rare,"low evidence (lrs3=1, ref_n=4)"
head,1,4,0.250,4,0.250,rare,"low evidence (lrs3=1, ref_n=4)"
hours,1,5,0.400,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
listening,1,3,0.333,5,0.200,rare,"low evidence (lrs3=1, ref_n=5)"
news,1,3,0.333,5,0.200,rare,"low evidence (lrs3=1, ref_n=5)"
notes,2,3,0.000,4,0.000,rare,"low evidence (lrs3=2, ref_n=4)"
red,1,5,0.000,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
son,1,5,0.400,3,1.000,rare,"low evidence (lrs3=1, ref_n=3)"
state,1,5,0.000,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
stay,1,4,0.250,4,0.250,rare,"low evidence (lrs3=1, ref_n=4)"
art,1,4,0.250,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
cutting,1,2,1.000,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
dark,1,4,0.500,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
everyone,1,4,0.500,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
familiar,1,5,0.400,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
general,1,2,1.000,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
inside,1,3,0.000,4,0.000,rare,"low evidence (lrs3=1, ref_n=4)"
leave,2,4,0.250,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
men,2,2,0.500,4,0.250,rare,"low evidence (lrs3=2, ref_n=4)"
opportunity,2,3,1.000,3,1.000,rare,"low evidence (lrs3=2, ref_n=3)"
places,1,4,0.500,3,1.000,rare,"low evidence (lrs3=1, ref_n=3)"
rich,2,3,0.333,3,0.333,rare,"low evidence (lrs3=2, ref_n=3)"
showing,1,2,0.500,5,0.200,rare,"low evidence (lrs3=1, ref_n=5)"
similar,1,3,1.000,4,0.750,rare,"low evidence (lrs3=1, ref_n=4)"
strength,1,2,1.000,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
strong,1,3,1.000,4,0.750,rare,"low evidence (lrs3=1, ref_n=4)"
talked,1,3,0.667,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
thanks,1,3,1.000,4,0.750,rare,"low evidence (lrs3=1, ref_n=4)"
window,2,1,1.000,5,0.200,rare,"low evidence (lrs3=2, ref_n=5)"
anyway,1,3,0.000,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
arm,1,4,0.250,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
aware,2,1,1.000,4,0.250,rare,"low evidence (lrs3=2, ref_n=4)"
days,1,3,0.667,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
death,1,3,0.333,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
degree,2,3,0.333,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
giving,2,1,0.000,4,0.000,rare,"low evidence (lrs3=2, ref_n=4)"
growth,2,2,0.500,3,0.333,rare,"low evidence (lrs3=2, ref_n=3)"
helps,1,3,1.000,3,1.000,rare,"low evidence (lrs3=1, ref_n=3)"
hope,1,4,0.500,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
large,1,2,1.000,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
listen,1,2,0.500,4,0.250,rare,"low evidence (lrs3=1, ref_n=4)"
local,1,4,0.250,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
movie,2,4,0.000,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
older,2,3,0.333,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
patient,1,2,1.000,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
possibly,1,2,1.000,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
separate,2,2,1.000,3,0.667,rare,"low evidence (lrs3=2, ref_n=3)"
street,1,2,1.000,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
therefore,2,2,0.500,3,0.333,rare,"low evidence (lrs3=2, ref_n=3)"
today's,2,1,1.000,4,0.250,rare,"low evidence (lrs3=2, ref_n=4)"
unfortunately,1,3,1.000,3,1.000,rare,"low evidence (lrs3=1, ref_n=3)"
unite,2,2,1.000,3,0.667,rare,"low evidence (lrs3=2, ref_n=3)"
age,1,3,0.333,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
ahead,1,1,0.000,4,0.000,rare,"low evidence (lrs3=1, ref_n=4)"
audience,2,2,0.000,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
awareness,2,2,1.000,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
beautiful,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
biggest,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
cancer,1,2,0.500,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
constantly,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
countries,1,2,1.000,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
document,2,1,1.000,3,0.333,rare,"low evidence (lrs3=2, ref_n=3)"
force,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
goal,2,2,1.000,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
himself,1,2,1.000,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
interested,1,2,1.000,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
largest,2,4,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
letter,2,2,0.500,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
lifestyle,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
literally,1,2,1.000,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
meet,1,2,0.500,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
message,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
often,2,2,0.500,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
reach,1,3,0.333,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
received,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
sat,1,2,1.000,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
serious,1,3,0.333,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
shape,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
sick,2,2,0.500,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
spent,2,2,1.000,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
successful,1,3,0.667,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
tremendous,2,2,1.000,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
trick,1,2,0.000,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
concepts,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
dangerous,1,3,0.333,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
described,1,3,0.333,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
died,2,2,0.500,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
ear,1,2,1.000,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
early,1,2,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
eventually,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
guy,1,3,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
keeping,2,1,1.000,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
kinds,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
longer,2,1,1.000,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
necessarily,2,1,1.000,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
raise,2,2,0.000,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
raising,1,3,0.333,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
reality,1,2,1.000,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
reduction,2,1,0.000,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
ride,2,1,1.000,2,1.000,rare,"low evidence (lrs3=2, ref_n=2)"
seeing,1,1,0.000,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
short,1,2,0.500,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
simply,1,2,0.500,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
sisters,1,3,0.333,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
skin,1,2,0.500,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
slowly,1,2,1.000,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
society,1,2,0.500,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
soil,2,2,0.500,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
terms,2,1,1.000,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
thoughts,1,2,1.000,2,1.000,rare,"low evidence (lrs3=1, ref_n=2)"
towards,1,4,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
vision,1,3,0.333,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
west,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
wife,2,1,1.000,2,0.500,rare,"low evidence (lrs3=2, ref_n=2)"
worried,1,2,0.500,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
worth,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
wrote,1,1,1.000,3,0.333,rare,"low evidence (lrs3=1, ref_n=3)"
absolutely,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
alive,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
bomb,2,2,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
brings,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
century,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
choices,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
daughters,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
dead,2,0,,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
decades,1,3,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
discussion,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
doctor,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
driving,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
ended,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
enter,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
everyday,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
expect,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
faith,2,1,0.000,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
fortunate,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
handy,2,0,,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
increased,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
indeed,1,2,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
international,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
literature,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
motivated,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
near,2,0,,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
opportunities,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
oregon,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
others,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
pen,1,1,0.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
philosophy,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
physician,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
politics,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
possibility,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
realized,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
screen,1,0,,3,0.000,rare,"low evidence (lrs3=1, ref_n=3)"
shouldn't,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
sides,1,1,1.000,2,0.500,rare,"low evidence (lrs3=1, ref_n=2)"
spoken,2,0,,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
stood,2,2,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
thin,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
touch,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
upon,2,0,,2,0.000,rare,"low evidence (lrs3=2, ref_n=2)"
waited,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
walking,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
wanting,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
we'd,1,2,0.500,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
weren't,1,1,0.000,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
wisdom,2,1,1.000,1,1.000,rare,"low evidence (lrs3=2, ref_n=1)"
you'd,2,1,0.000,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
access,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
actions,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
actor,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
aid,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
ambassador,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
appreciation,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
bank,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
broken,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
campaign,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
capacity,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
comfortable,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
confident,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
consciousness,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
considered,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
considering,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
content,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
couldn't,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
created,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
cultures,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
cycle,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
dad,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
defined,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
demonstrate,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
determines,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
education,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
elders,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
enable,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
failed,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
glass,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
goals,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
hated,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
heroes,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
historically,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
hit,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
humanity,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
industry,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
isolated,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
led,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
meetings,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
mom's,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
nuts,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
page,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
particularly,1,1,0.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
perhaps,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
period,1,1,0.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
pneumonia,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
prove,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
quote,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
religion,1,1,0.000,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
response,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
seriously,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
sets,1,0,,2,0.000,rare,"low evidence (lrs3=1, ref_n=2)"
somehow,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
stem,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
utilizing,1,1,1.000,1,1.000,rare,"low evidence (lrs3=1, ref_n=1)"
weak,2,1,0.000,0,,rare,"low evidence (lrs3=2, ref_n=0)"
wherever,2,0,,1,0.000,rare,"low evidence (lrs3=2, ref_n=1)"
wind,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
youth,1,2,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
absurd,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
addressing,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
anywhere,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
apologize,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
bear,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
behalf,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
behaviour,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
blew,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
caught,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
circles,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
constituencies,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
convenience,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
date,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
delay,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
deserve,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
desk,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
etc,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
filmmaker,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
frank,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
garden,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
hero,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
hospital,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
knows,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
kofi,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
lacking,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
leaving,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
legacy,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
lift,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
memories,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
missed,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
morbid,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
motivation,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
nagasaki,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
nations,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
neglected,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
notices,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
nuclear,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
outcome,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
partnerships,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
phase,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
piano,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
pillars,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
pot,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
press,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
profession,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
protection,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
reached,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
reaching,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
realised,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
respiratory,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
salim,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
saving,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
shall,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
shared,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
sharing,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
shown,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
staying,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
structuring,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
stuck,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
succeeded,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
suffering,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
suicide,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
sword,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
tears,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
technologies,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
they'd,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
troops,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
ultimately,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
visiting,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
vital,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
voted,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
wondering,1,1,0.000,0,,rare,"low evidence (lrs3=1, ref_n=0)"
worse,1,0,,1,0.000,rare,"low evidence (lrs3=1, ref_n=1)"
yourselves,2,0,,0,,rare,"low evidence (lrs3=2, ref_n=0)"
accountable,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ahmed,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ambush,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ample,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
apparently,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
assembly,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
assisted,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
barnaby,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
bites,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
blossoming,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
boat,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
bored,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
brave,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
brazil,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
buddy,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
burundi,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
ceasefire,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
chart,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
chores,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
chosen,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
christie,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
coe,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
concerning,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
confusing,1,0,,0,,rare,"low evidence (lrs3=1, ref_n=0)"
