# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
bit,3,19,0.632,28,0.464,safe,P(correct)=0.63 on 19 decoded; recall=0.46 on 28 ref occurrences
different,2,18,0.778,30,0.467,safe,P(correct)=0.78 on 18 decoded; recall=0.47 on 30 ref occurrences
guys,5,15,0.733,29,0.448,safe,P(correct)=0.73 on 15 decoded; recall=0.45 on 29 ref occurrences
started,10,18,0.722,21,0.619,safe,P(correct)=0.72 on 18 decoded; recall=0.62 on 21 ref occurrences
around,7,23,0.565,18,0.722,safe,P(correct)=0.57 on 23 decoded; recall=0.72 on 18 ref occurrences
can't,0,25,0.600,23,0.652,safe,P(correct)=0.60 on 25 decoded; recall=0.65 on 23 ref occurrences
maybe,3,22,0.773,23,0.739,safe,P(correct)=0.77 on 22 decoded; recall=0.74 on 23 ref occurrences
same,2,20,0.600,26,0.462,safe,P(correct)=0.60 on 20 decoded; recall=0.46 on 26 ref occurrences
many,3,21,0.667,23,0.696,safe,P(correct)=0.67 on 21 decoded; recall=0.70 on 23 ref occurrences
off,4,19,0.684,24,0.542,safe,P(correct)=0.68 on 19 decoded; recall=0.54 on 24 ref occurrences
great,0,17,0.765,29,0.448,safe,P(correct)=0.76 on 17 decoded; recall=0.45 on 29 ref occurrences
point,12,15,0.733,19,0.579,safe,P(correct)=0.73 on 15 decoded; recall=0.58 on 19 ref occurrences
sure,1,22,0.773,23,0.739,safe,P(correct)=0.77 on 22 decoded; recall=0.74 on 23 ref occurrences
find,6,20,0.750,19,0.789,safe,P(correct)=0.75 on 20 decoded; recall=0.79 on 19 ref occurrences
pretty,1,17,0.882,27,0.556,safe,P(correct)=0.88 on 17 decoded; recall=0.56 on 27 ref occurrences
put,3,15,0.600,27,0.370,safe,P(correct)=0.60 on 15 decoded; recall=0.37 on 27 ref occurrences
own,4,22,0.455,18,0.556,safe,P(correct)=0.45 on 22 decoded; recall=0.56 on 18 ref occurrences
should,0,20,0.600,24,0.542,safe,P(correct)=0.60 on 20 decoded; recall=0.54 on 24 ref occurrences
didn't,3,22,0.318,18,0.556,safe,P(correct)=0.32 on 22 decoded; recall=0.56 on 18 ref occurrences
home,7,14,1.000,22,0.636,safe,P(correct)=1.00 on 14 decoded; recall=0.64 on 22 ref occurrences
video,0,18,0.833,25,0.640,safe,P(correct)=0.83 on 18 decoded; recall=0.64 on 25 ref occurrences
probably,2,18,0.778,21,0.667,safe,P(correct)=0.78 on 18 decoded; recall=0.67 on 21 ref occurrences
another,3,15,0.733,22,0.500,safe,P(correct)=0.73 on 15 decoded; recall=0.50 on 22 ref occurrences
every,3,17,0.706,20,0.600,safe,P(correct)=0.71 on 17 decoded; recall=0.60 on 20 ref occurrences
school,4,19,0.526,17,0.588,safe,P(correct)=0.53 on 19 decoded; recall=0.59 on 17 ref occurrences
year,2,24,0.333,14,0.571,safe,P(correct)=0.33 on 24 decoded; recall=0.57 on 14 ref occurrences
long,8,14,0.500,17,0.412,safe,P(correct)=0.50 on 14 decoded; recall=0.41 on 17 ref occurrences
mean,1,13,0.538,25,0.320,safe,P(correct)=0.54 on 13 decoded; recall=0.32 on 25 ref occurrences
next,3,17,0.588,19,0.526,safe,P(correct)=0.59 on 17 decoded; recall=0.53 on 19 ref occurrences
try,6,14,0.571,19,0.421,safe,P(correct)=0.57 on 14 decoded; recall=0.42 on 19 ref occurrences
between,4,14,0.857,20,0.600,safe,P(correct)=0.86 on 14 decoded; recall=0.60 on 20 ref occurrences
high,3,19,0.632,16,0.812,safe,P(correct)=0.63 on 19 decoded; recall=0.81 on 16 ref occurrences
give,2,15,0.800,20,0.600,safe,P(correct)=0.80 on 15 decoded; recall=0.60 on 20 ref occurrences
idea,5,16,0.500,16,0.500,safe,P(correct)=0.50 on 16 decoded; recall=0.50 on 16 ref occurrences
everything,1,17,0.765,18,0.778,safe,P(correct)=0.76 on 17 decoded; recall=0.78 on 18 ref occurrences
name,1,16,0.562,19,0.474,safe,P(correct)=0.56 on 16 decoded; recall=0.47 on 19 ref occurrences
after,1,16,0.562,18,0.556,safe,P(correct)=0.56 on 16 decoded; recall=0.56 on 18 ref occurrences
help,9,11,0.636,15,0.600,safe,P(correct)=0.64 on 11 decoded; recall=0.60 on 15 ref occurrences
show,1,15,0.600,19,0.474,safe,P(correct)=0.60 on 15 decoded; recall=0.47 on 19 ref occurrences
camera,2,11,0.909,21,0.476,safe,P(correct)=0.91 on 11 decoded; recall=0.48 on 21 ref occurrences
keep,10,13,0.538,11,0.636,safe,P(correct)=0.54 on 13 decoded; recall=0.64 on 11 ref occurrences
system,1,16,0.625,17,0.588,safe,P(correct)=0.62 on 16 decoded; recall=0.59 on 17 ref occurrences
ever,11,12,0.583,10,0.700,safe,P(correct)=0.58 on 12 decoded; recall=0.70 on 10 ref occurrences
never,4,15,0.533,14,0.571,safe,P(correct)=0.53 on 15 decoded; recall=0.57 on 14 ref occurrences
talking,2,14,0.643,16,0.562,safe,P(correct)=0.64 on 14 decoded; recall=0.56 on 16 ref occurrences
whole,0,15,0.667,17,0.588,safe,P(correct)=0.67 on 15 decoded; recall=0.59 on 17 ref occurrences
better,1,14,0.500,16,0.438,safe,P(correct)=0.50 on 14 decoded; recall=0.44 on 16 ref occurrences
few,1,12,0.500,18,0.333,safe,P(correct)=0.50 on 12 decoded; recall=0.33 on 18 ref occurrences
job,9,11,0.727,11,0.818,safe,P(correct)=0.73 on 11 decoded; recall=0.82 on 11 ref occurrences
last,1,15,0.467,15,0.533,safe,P(correct)=0.47 on 15 decoded; recall=0.53 on 15 ref occurrences
you've,8,10,0.600,13,0.538,safe,P(correct)=0.60 on 10 decoded; recall=0.54 on 13 ref occurrences
yourself,10,10,0.500,11,0.545,safe,P(correct)=0.50 on 10 decoded; recall=0.55 on 11 ref occurrences
business,3,14,0.786,13,0.846,safe,P(correct)=0.79 on 14 decoded; recall=0.85 on 13 ref occurrences
course,6,10,0.900,14,0.643,safe,P(correct)=0.90 on 10 decoded; recall=0.64 on 14 ref occurrences
feel,2,16,0.562,12,0.750,safe,P(correct)=0.56 on 16 decoded; recall=0.75 on 12 ref occurrences
learn,2,11,1.000,17,0.706,safe,P(correct)=1.00 on 11 decoded; recall=0.71 on 17 ref occurrences
trying,4,14,0.571,12,0.667,safe,P(correct)=0.57 on 14 decoded; recall=0.67 on 12 ref occurrences
came,4,13,0.538,12,0.583,safe,P(correct)=0.54 on 13 decoded; recall=0.58 on 12 ref occurrences
might,1,13,0.692,15,0.600,safe,P(correct)=0.69 on 13 decoded; recall=0.60 on 15 ref occurrences
process,7,12,0.667,10,0.900,safe,P(correct)=0.67 on 12 decoded; recall=0.90 on 10 ref occurrences
called,1,16,0.375,11,0.545,safe,P(correct)=0.38 on 16 decoded; recall=0.55 on 11 ref occurrences
he's,3,7,0.571,18,0.222,safe,P(correct)=0.57 on 7 decoded; recall=0.22 on 18 ref occurrences
hear,0,13,0.615,15,0.533,safe,P(correct)=0.62 on 13 decoded; recall=0.53 on 15 ref occurrences
looking,1,14,0.571,13,0.615,safe,P(correct)=0.57 on 14 decoded; recall=0.62 on 13 ref occurrences
money,1,17,0.588,10,1.000,safe,P(correct)=0.59 on 17 decoded; recall=1.00 on 10 ref occurrences
person,1,15,0.733,12,0.917,safe,P(correct)=0.73 on 15 decoded; recall=0.92 on 12 ref occurrences
working,4,12,0.583,12,0.583,safe,P(correct)=0.58 on 12 decoded; recall=0.58 on 12 ref occurrences
obviously,7,8,0.750,12,0.500,safe,P(correct)=0.75 on 8 decoded; recall=0.50 on 12 ref occurrences
thought,7,8,0.875,12,0.583,safe,P(correct)=0.88 on 8 decoded; recall=0.58 on 12 ref occurrences
together,5,11,0.727,11,0.727,safe,P(correct)=0.73 on 11 decoded; recall=0.73 on 11 ref occurrences
using,0,10,0.900,17,0.529,safe,P(correct)=0.90 on 10 decoded; recall=0.53 on 17 ref occurrences
while,3,12,0.750,12,0.750,safe,P(correct)=0.75 on 12 decoded; recall=0.75 on 12 ref occurrences
basically,2,10,0.800,14,0.571,safe,P(correct)=0.80 on 10 decoded; recall=0.57 on 14 ref occurrences
